Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
21,11/30/2018,OKC,,ATL,W 124-109,240,43,96,0.448,32,60,0.533,11,36,0.306,12,20,0.6,109,101.4,0.208,0.375,0.52,0.505,0.125,26.4,47.7,60.5,14,6.4,16.7
22,12/3/2018,OKC,@,DET,W 110-83,240,31,94,0.33,25,62,0.403,6,32,0.188,15,19,0.789,83,79.6,0.202,0.34,0.405,0.362,0.16,16.4,44.1,51.6,9.6,5,12.8
23,12/5/2018,OKC,@,BRK,W 114-112,240,37,86,0.43,22,50,0.44,15,36,0.417,23,30,0.767,112,109.3,0.349,0.419,0.565,0.517,0.267,18.9,42.9,56.8,6.8,6.6,12.4
24,12/7/2018,OKC,@,CHI,L 112-114,240,43,82,0.524,31,57,0.544,12,25,0.48,16,23,0.696,114,105.6,0.28,0.305,0.619,0.598,0.195,11.9,43.3,58.1,13.9,9.1,17.8
25,12/10/2018,OKC,,UTA,W 122-113,240,43,84,0.512,35,55,0.636,8,29,0.276,19,30,0.633,113,107.4,0.357,0.345,0.581,0.56,0.226,26.2,51.1,69.8,10.5,6.3,17.1
26,12/12/2018,OKC,@,NOP,L 114-118,240,45,97,0.464,41,79,0.519,4,18,0.222,24,30,0.8,118,111,0.309,0.186,0.535,0.485,0.247,36.2,58.9,64.4,13.2,6.8,13.4
27,12/14/2018,OKC,@,DEN,L 98-109,240,42,83,0.506,31,49,0.633,11,34,0.324,14,15,0.933,109,115.1,0.181,0.41,0.608,0.572,0.169,33.3,52.7,69,8.4,8.5,18.2
28,12/15/2018,OKC,,LAC,W 110-104,240,38,75,0.507,25,50,0.5,13,25,0.52,15,22,0.682,104,101.9,0.293,0.333,0.614,0.593,0.2,16.2,52.4,47.4,6.9,5.9,23.5
29,12/17/2018,OKC,,CHI,W 121-96,240,38,85,0.447,30,63,0.476,8,22,0.364,12,16,0.75,96,94.8,0.188,0.259,0.522,0.494,0.141,28.9,45.6,52.6,9.9,10.3,20
30,12/19/2018,OKC,@,SAC,W 132-113,240,39,93,0.419,26,59,0.441,13,34,0.382,22,33,0.667,113,102.8,0.355,0.366,0.525,0.489,0.237,17.2,39.4,71.8,6.4,7.1,10.8
31,12/22/2018,OKC,@,UTA,W 107-106,240,42,93,0.452,31,59,0.525,11,34,0.324,11,18,0.611,106,101.9,0.194,0.366,0.525,0.511,0.118,18.9,46.3,83.3,11.5,6.3,11.4
32,12/23/2018,OKC,,MIN,L 112-114,240,41,83,0.494,27,56,0.482,14,27,0.519,18,27,0.667,114,112,0.325,0.325,0.601,0.578,0.217,14.3,47.1,61,8.8,7.7,13.7
33,12/25/2018,OKC,@,HOU,L 109-113,240,44,97,0.454,30,53,0.566,14,44,0.318,11,17,0.647,113,109.7,0.175,0.454,0.541,0.526,0.113,33.3,50.9,40.9,8.7,5.9,15.4
34,12/28/2018,OKC,@,PHO,W 118-102,240,39,90,0.433,30,61,0.492,9,29,0.31,15,16,0.938,102,98.3,0.178,0.322,0.526,0.483,0.167,15.6,41,56.4,11.6,9.3,14.9
35,12/30/2018,OKC,@,DAL,L 103-105,240,37,81,0.457,23,42,0.548,14,39,0.359,17,22,0.773,105,101.7,0.272,0.481,0.579,0.543,0.21,22,55.7,56.8,7.8,5.5,20.2
36,12/31/2018,OKC,,DAL,W 122-102,240,31,74,0.419,17,36,0.472,14,38,0.368,26,34,0.765,102,91.6,0.459,0.514,0.573,0.514,0.351,12.5,51.6,67.7,6.3,3.8,22.6
